mse_penalty,tol,breakpoint_reg,t_squared_objective,z_squared_objective,lower_bound,upper_bound
0.0,1e-06,0.0,True,True,0.0507906638330503,223.98009801462624
0.0,1e-06,0.0,True,False,0.0007013008402652,1.0482718412683418
0.0,1e-06,0.0,False,True,0.0488614350464063,1.046838339525361
0.0,1e-06,0.0,False,False,0.0,1.0482718412683418
0.0,1e-06,1e-12,True,True,0.0507906727399581,223.97990830682295
0.0,1e-06,1e-12,True,False,0.0007012386083703,1.0482718412683418
0.0,1e-06,1e-12,False,True,0.0488614366978739,1.0468383395253618
0.0,1e-06,1e-12,False,False,0.0,1.0482718412683418
0.0,1e-06,1e-08,True,True,0.0507902710237156,223.9892279809394
0.0,1e-06,1e-08,True,False,0.0007011516731569,1.0482718412683418
0.0,1e-06,1e-08,False,True,0.0488614368984974,1.0468383395253615
0.0,1e-06,1e-08,False,False,0.0,1.0482718412683418
0.0,1e-09,0.0,True,True,0.046465591835702,3.420969093860504
0.0,1e-09,0.0,True,False,0.0,1.0482718412683418
0.0,1e-09,0.0,False,True,0.0488606863595527,
0.0,1e-09,0.0,False,False,0.0,1.0482718412683418
0.0,1e-09,1e-12,True,True,0.0464654412142639,3.4047806919179417
0.0,1e-09,1e-12,True,False,0.0,1.0482718412683418
0.0,1e-09,1e-12,False,True,0.0488606870750969,1.0468383383462914
0.0,1e-09,1e-12,False,False,0.0,1.0482718412683418
0.0,1e-09,1e-08,True,True,0.0464651317913731,3.404796806853923
0.0,1e-09,1e-08,True,False,0.0,1.0482718412683418
0.0,1e-09,1e-08,False,True,0.0488606899132514,
0.0,1e-09,1e-08,False,False,0.0,1.0482718412683418
0.3333333333333333,1e-06,0.0,True,True,0.0488656448062917,1.1417960244239844
0.3333333333333333,1e-06,0.0,True,False,0.0456559656309234,
0.3333333333333333,1e-06,0.0,False,True,0.0488770109787003,
0.3333333333333333,1e-06,0.0,False,False,0.0062509632255447,114.95949494125487
0.3333333333333333,1e-06,1e-12,True,True,0.0488656448745694,1.1417892371142755
0.3333333333333333,1e-06,1e-12,True,False,0.0456559644404161,
0.3333333333333333,1e-06,1e-12,False,True,0.0488770111500383,
0.3333333333333333,1e-06,1e-12,False,False,0.006250963299366,136.56905821068966
0.3333333333333333,1e-06,1e-08,True,True,0.0488656421323982,1.141785245790546
0.3333333333333333,1e-06,1e-08,True,False,0.0456559662410158,1.924088949010166
0.3333333333333333,1e-06,1e-08,False,True,0.0488770141998424,
0.3333333333333333,1e-06,1e-08,False,False,0.006250963559572,136.57027278859343
0.3333333333333333,1e-09,0.0,True,True,0.0488606892673739,
0.3333333333333333,1e-09,0.0,True,False,0.0456542188271619,
0.3333333333333333,1e-09,0.0,False,True,0.0488606689564031,
0.3333333333333333,1e-09,0.0,False,False,0.0062509803716368,
0.3333333333333333,1e-09,1e-12,True,True,0.048860689208238,
0.3333333333333333,1e-09,1e-12,True,False,0.0456542314960651,
0.3333333333333333,1e-09,1e-12,False,True,0.0488606690515308,
0.3333333333333333,1e-09,1e-12,False,False,0.0062509804447419,
0.3333333333333333,1e-09,1e-08,True,True,0.0488606973862438,
0.3333333333333333,1e-09,1e-08,True,False,0.0456542335309186,
0.3333333333333333,1e-09,1e-08,False,True,0.0488606723566631,
0.3333333333333333,1e-09,1e-08,False,False,0.0062509807056504,
0.6666666666666666,1e-06,0.0,True,True,0.0488647900566548,2.029460866250674
0.6666666666666666,1e-06,0.0,True,False,0.0480511140485477,
0.6666666666666666,1e-06,0.0,False,True,0.0488518788655404,
0.6666666666666666,1e-06,0.0,False,False,0.0124247377919748,53.14439226582852
0.6666666666666666,1e-06,1e-12,True,True,0.0488647868050321,2.029490334838905
0.6666666666666666,1e-06,1e-12,True,False,0.0480511140345829,1.5199408368641545
0.6666666666666666,1e-06,1e-12,False,True,0.0488518804615767,
0.6666666666666666,1e-06,1e-12,False,False,0.0124247378166407,53.14440170178192
0.6666666666666666,1e-06,1e-08,True,True,0.0488647879793173,2.0294808546699064
0.6666666666666666,1e-06,1e-08,True,False,0.0480511170889896,
0.6666666666666666,1e-06,1e-08,False,True,0.0488518815990714,
0.6666666666666666,1e-06,1e-08,False,False,0.0124247381603548,53.14420964123551
0.6666666666666666,1e-09,0.0,True,True,0.0488606939870748,
