mse_penalty,tol,breakpoint_reg,t_squared_objective,lower_bound,upper_bound
0.0,1e-06,0.0,True,0.0,
0.0,1e-06,0.0,False,5.997290835172318e-11,
0.0,1e-06,1e-12,True,0.0,
0.0,1e-06,1e-12,False,1.713307600472925e-10,
0.0,1e-06,1e-08,True,0.0,
0.0,1e-06,1e-08,False,0.0,
0.0,1e-09,0.0,True,0.0,
0.0,1e-09,0.0,False,4.852128730046769e-10,
0.0,1e-09,1e-12,True,0.0,
0.0,1e-09,1e-12,False,5.96412354478816e-10,
0.0,1e-09,1e-08,True,0.0,
0.0,1e-09,1e-08,False,2.8070202524020213e-10,
0.3333333333333333,1e-06,0.0,True,0.045657023322010985,
0.3333333333333333,1e-06,0.0,False,0.0062516743871580405,25.05987962133323
0.3333333333333333,1e-06,1e-12,True,0.045657020740640764,1.9240354385453622
0.3333333333333333,1e-06,1e-12,False,0.0062516743545283455,25.059909948279508
0.3333333333333333,1e-06,1e-08,True,0.0456570228711494,1.9240354501128767
0.3333333333333333,1e-06,1e-08,False,0.006251675238025058,25.06021530854997
0.3333333333333333,1e-09,0.0,True,0.045654206470471616,
0.3333333333333333,1e-09,0.0,False,0.006250981119944346,
0.3333333333333333,1e-09,1e-12,True,0.04565422294659856,
0.3333333333333333,1e-09,1e-12,False,0.006250981088180545,
0.3333333333333333,1e-09,1e-08,True,0.04565422884457407,1.9240217692799808
0.3333333333333333,1e-09,1e-08,False,0.006250981957588236,
0.6666666666666666,1e-06,0.0,True,0.048043574547119286,
0.6666666666666666,1e-06,0.0,False,0.012425308662319112,2.214575855471601
0.6666666666666666,1e-06,1e-12,True,0.04804357464340683,
0.6666666666666666,1e-06,1e-12,False,0.012425308595790566,2.2145758554740347
0.6666666666666666,1e-06,1e-08,True,0.04804358291095544,
0.6666666666666666,1e-06,1e-08,False,0.012425310206114688,2.2145758552874213
0.6666666666666666,1e-09,0.0,True,0.048051934434981236,
0.6666666666666666,1e-09,0.0,False,0.012425088948927696,
0.6666666666666666,1e-09,1e-12,True,0.048051934514638045,
0.6666666666666666,1e-09,1e-12,False,0.012425088882313322,
0.6666666666666666,1e-09,1e-08,True,0.04805194277696838,
0.6666666666666666,1e-09,1e-08,False,0.012425090491664627,
1.0,1e-06,0.0,True,0.04849475564560925,1.1120706076955063
1.0,1e-06,0.0,False,0.01845147814115992,1414.2120465060004
1.0,1e-06,1e-12,True,0.048494755752795646,
1.0,1e-06,1e-12,False,0.018451478220088795,1412.7745967186204
